Rk,Player,Tm,s201617,s201718,s201819,s201920,s202021,s202122,Signed Using,Guaranteed
178,Deron Williams,BRK,$5500000,$5500000,$5500000,$5500000,,,,$22000000
179,Nick Young,LAL,$5443918,$5668667,,,,,Cap Space,$11112585
180,Josh Smith,DET,$5400000,$5400000,$5400000,$5400000,,,,$27000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
181,Jabari Parker,MIL,$5374320,$6782392,,,,,1st Round Pick,$5374320
182,D'Angelo Russell,LAL,$5332800,$5562360,$7019698,,,,1st round pick,$5332800
183,Cody Zeller,CHO,$5318313,,,,,,1st Round Pick,$5318313
184,P.J. Tucker,PHO,$5300000,,,,,,Cap Space,$1500000
185,Kyle Korver,ATL,$5239437,,,,,,Bird Rights,$5239437
186,Darren Collison,SAC,$5229454,,,,,,MLE,$5229454
187,Langston Galloway,NOP,$5200000,$5430000,,,,,Cap Space,$5200000
188,Jason Smith,WAS,$5000000,$5225000,$5450000,,,,Cap Space,$10225000
189,C.J. Watson,ORL,$5000000,$5000000,,,,,Cap Space,$6000000
190,Brandon Jennings,NYK,$5000000,,,,,,Cap Space,$5000000
191,Derrick Williams,MIA,$5000000,,,,,,Cap Space,$5000000
192,Roy Hibbert,CHO,$5000000,,,,,,Cap Space,$5000000
193,Luis Scola,BRK,$5000000,,,,,,Cap Space,$5000000
194,Jonas Jerebko,BOS,$5000000,,,,,,Bird Rights,$5000000
195,Kyle Singler,OKC,$4837500,$4666500,$4996000,$5333500,,,Bird Rights,$14500000
196,Mike Dunleavy,CLE,$4837500,$5175000,,,,,Early Bird Rights,$6500000
197,Joel Embiid,PHI,$4826160,$6100266,,,,,1st Round Pick,$4826160
198,Alex Len,PHO,$4823621,,,,,,1st Round Pick,$4823621
199,Jahlil Okafor,PHI,$4788840,$4995120,$6313832,,,,1st round pick,$4788840
200,Jaylen Brown,BOS,$4743000,$4956480,$5169960,$6534829,,,1st Rd pick,$9699480
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
201,Marcus Morris,DET,$4625000,$5000000,$5375000,,,,Bird Rights,$15000000
202,Alexis Ajinca,NOP,$4600000,$4900000,$5300000,,,,Early Bird Rights,$14800000
203,C.J. Miles,IND,$4583450,$4772675,,,,,MLE,$4583450
204,Jameer Nelson,DEN,$4540525,$4736050,,,,,Cap Space,$9276575
205,Nerlens Noel,PHI,$4384490,,,,,,1st Round Pick,$4384490
206,Aaron Gordon,ORL,$4351320,$5504420,,,,,1st Round Pick,$4351320
207,Greivis Vasquez,BRK,$4347826,,,,,,Cap Space,$4347826
208,Kristaps Porzingis,NYK,$4317720,$4503600,$5697054,,,,1st round pick,$4317720
209,Dragan Bender,PHO,$4276320,$4468800,$4661280,$5896519,,,1st Round pick,$8745120
210,Devin Harris,DAL,$4228000,$4403000,,,,,Cap Space,$8631000
211,J.J. Barea,DAL,$4096950,$3903900,$3710850,,,,Cap Space,$11711700
212,Ben McLemore,SAC,$4008882,,,,,,1st Round Pick,$4008882
213,Leandro Barbosa,PHO,$4000000,$4000000,,,,,Cap Space,$4500000
214,James Johnson,MIA,$4000000,,,,,,Cap Space,$4000000
215,Udonis Haslem,MIA,$4000000,,,,,,Cap Space,$4000000
216,Lavoy Allen,IND,$4000000,$4300000,,,,,,$4000000
217,Kris Humphries,ATL,$4000000,,,,,,Cap Space,$4000000
218,Dante Exum,UTA,$3940320,$4992385,,,,,1st Round Pick,$3940320
219,Jordan Hill,MIN,$3911380,$4088020,,,,,Cap Space,$3911380
220,Mario Hezonja,ORL,$3909840,$4078320,$5167231,,,,1st round pick,$3909840
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
221,Kyle O'Quinn,NYK,$3900000,$4100000,$4250000,,,,Bird Rights,$8000000
222,Kris Dunn,MIN,$3872520,$4046760,$4221000,$5348007,,,1st Round pick,$7919280
223,Thabo Sefolosha,ATL,$3850000,,,,,,,$3850000
224,Nick Collison,OKC,$3750000,,,,,,Bird Rights,$3750000
225,Kentavious Caldwell-Pope,DET,$3678319,,,,,,1st Round Pick,$3678319
226,Nemanja Bjelica,MIN,$3674333,$3824333,,,,,MLE,$7498666
227,Quincy Pondexter,NOP,$3617978,$3853931,,,,,1st Round Pick,$7471909
228,Patrick Mills,SAS,$3578948,,,,,,Bird Rights,$3578948
229,Marcus Smart,BOS,$3578880,$4538020,,,,,1st Round Pick,$3578880
230,Bojan Bogdanovic,BRK,$3573020,,,,,,MLE,$3573020
231,Willie Cauley-Stein,SAC,$3551160,$3704160,$4696875,,,,1st round pick,$3551160
232,Will Barton,DEN,$3533333,$3533333,,,,,Bird Rights,$7066666
